emp_no,first_name,last_name,title,from_date,to_date
10095,Hilari,Morton,Senior Staff,1994-03-10,9999-01-01
10122,Ohad,Esposito,Technique Leader,1998-08-06,9999-01-01
10291,Dipayan,Seghrouchni,Senior Staff,1987-03-30,9999-01-01
10410,Takahito,Gecsei,Staff,1993-10-16,1996-07-21
10476,Kokou,Iisaka,Senior Staff,1987-09-20,9999-01-01
10480,Make,Baba,Staff,1988-05-18,1989-06-03
10663,Teunis,Noriega,Technique Leader,1999-02-12,9999-01-01
10762,Lech,Himler,Senior Staff,1992-01-21,9999-01-01
10933,Juyoung,Seghrouchni,Senior Engineer,1993-08-02,9999-01-01
11015,Jeanna,Riesenhuber,Senior Staff,1998-03-14,2000-02-22
11126,Hideo,Daescu,Senior Staff,1992-02-25,2002-04-04
11157,Mario,Cochrane,Engineer,1985-03-30,1991-02-06
11432,Yongmao,Zwicker,Engineer,1987-10-19,1997-09-13
12155,Keiichiro,Glinert,Engineer,1993-09-16,9999-01-01
12408,Rasiah,Sudkamp,Senior Engineer,1995-04-18,9999-01-01
12643,Morrie,Schurmann,Staff,1998-12-31,9999-01-01
13499,Kazuhiko,Sidou,Technique Leader,1991-09-01,9999-01-01
13957,Angus,Chelton,Senior Engineer,1986-04-18,1987-02-02
14075,Denny,Tchuente,Assistant Engineer,1991-05-30,9999-01-01
14104,Sudhanshu,Demian,Senior Staff,1994-07-23,9999-01-01
14127,Magdalena,Cannard,Engineer,1994-04-22,9999-01-01
14158,Caolyn,Setiz,Senior Staff,1990-02-06,9999-01-01
14476,Sastry,Marrevee,Engineer,1999-09-25,9999-01-01
14551,Richard,Sinitsyn,Senior Staff,1993-06-27,1993-09-16
14907,Nakhoon,Luga,Senior Staff,1986-12-18,9999-01-01
15050,Nikolaos,Kruskal,Engineer,1990-12-17,9999-01-01
15058,Bouchung,Bugrara,Senior Staff,1990-06-18,9999-01-01
15376,Geoff,Soicher,Senior Staff,1988-08-14,2001-03-01
15413,Arvin,Rabejac,Engineer,1994-01-01,9999-01-01
16461,Remmert,Schahn,Senior Staff,1986-09-06,9999-01-01
16528,Gaurav,Swick,Assistant Engineer,1996-05-07,9999-01-01
17013,Morris,Garigliano,Senior Staff,1995-05-24,9999-01-01
17206,Berry,DeMori,Engineer,1992-12-27,9999-01-01
17369,Yaghout,Kenevan,Engineer,2000-09-15,9999-01-01
17447,Zengping,Boreale,Staff,1998-12-16,9999-01-01
17618,Teiji,Picco,Staff,1992-09-17,1999-11-08
17731,Gennady,Roison,Assistant Engineer,1989-12-06,9999-01-01
17799,Gro,Gini,Engineer,1997-09-28,2001-07-11
17970,Filipp,Carrere,Technique Leader,1989-01-09,9999-01-01
17988,Mabhin,Calkin,Engineer,1989-11-30,9999-01-01
18021,Adil,Matzke,Engineer,1987-05-08,9999-01-01
18187,Denis,Falster,Staff,1998-12-21,1999-06-03
18424,Filipp,Rousseau,Engineer,1995-06-07,9999-01-01
18583,Stafford,Honglei,Staff,1998-08-16,9999-01-01
18617,Surveyors,Crouzet,Senior Staff,1989-04-24,9999-01-01
18810,Taiji,Jarecki,Engineer,1991-06-27,9999-01-01
19236,Elzbieta,Morris,Engineer,1988-07-12,9999-01-01
19350,Satoru,Yoshizawa,Senior Staff,1994-03-27,9999-01-01
19803,Ziva,Kowalchuk,Engineer,1987-06-13,9999-01-01
20100,Utz,Heuter,Senior Staff,1986-06-15,9999-01-01
20128,Kazunori,Peak,Senior Staff,1999-08-13,9999-01-01
20129,Rafael,Skafidas,Engineer,1991-03-28,9999-01-01
20248,Vidar,Demri,Staff,1999-12-31,9999-01-01
20313,Candida,Benveniste,Engineer,1999-01-20,9999-01-01
20500,Christoph,Trystram,Senior Staff,1993-10-15,9999-01-01
20712,Valeri,Escriba,Engineer,1994-04-09,1998-05-02
20720,Heejo,Brodie,Senior Staff,1996-12-27,1997-05-17
20885,Otmar,Rothenberg,Engineer,1989-03-14,9999-01-01
21181,Jianhui,Cangellaris,Engineer,1991-10-06,9999-01-01
21188,Piyush,Danecki,Engineer,2000-01-08,9999-01-01
21534,Alagu,Luders,Staff,1996-04-03,1997-12-14
21546,Yongmin,Lanteri,Senior Staff,2002-03-19,9999-01-01
21843,Karsten,Azadmanesh,Senior Engineer,1985-11-29,9999-01-01
21909,Mohammed,Brizzi,Senior Staff,1991-12-28,9999-01-01
22027,Sangeeta,Georg,Staff,1992-07-31,1998-03-14
22185,Huai,Birch,Assistant Engineer,2002-06-12,9999-01-01
22415,Perla,Jumpertz,Senior Staff,1994-08-24,9999-01-01
22451,Jasminko,Bresenham,Senior Staff,1994-01-19,9999-01-01
22455,Barry,Unno,Senior Staff,1990-11-16,9999-01-01
22502,Rutger,Binkley,Senior Engineer,1989-10-16,2001-11-02
22926,Manibrata,Genther,Engineer,1988-01-15,9999-01-01
23396,Hilari,Fairtlough,Technique Leader,1986-12-15,9999-01-01
24080,Jaana,Perez,Technique Leader,1996-03-11,9999-01-01
24189,Abdelaziz,Atrawala,Staff,1993-03-28,1997-02-23
24205,Roddy,Rubsam,Senior Engineer,1993-09-19,9999-01-01
24377,Lubomir,Wroclawski,Engineer,1993-07-25,9999-01-01
24394,Zhonghui,Conta,Staff,1994-09-10,9999-01-01
24421,Dannz,Grospietsch,Senior Engineer,1990-09-01,2000-10-12
24553,Anwar,Passafiume,Senior Staff,1987-01-30,9999-01-01
24571,Cordelia,Gischer,Engineer,1989-03-14,9999-01-01
25488,Ingmar,Basawa,Senior Staff,1991-11-09,9999-01-01
26476,Bilhanan,Karcich,Staff,1996-04-09,1997-02-04
26503,Shietung,Billingsley,Senior Staff,1998-11-07,1998-12-02
26617,Berto,Bruckman,Engineer,1991-11-23,1994-03-27
26629,Nevin,Rodham,Senior Staff,1998-12-14,9999-01-01
26671,Jiakeng,Kalorkoti,Engineer,1994-12-25,9999-01-01
26788,Zongyan,Dalphin,Engineer,1988-04-23,9999-01-01
27150,Chenyi,Plump,Staff,1992-06-23,1995-05-22
27331,Wanqing,Krohm,Senior Staff,1991-01-22,9999-01-01
27378,Piyawadee,Leppanen,Senior Staff,1999-02-25,9999-01-01
27620,Shuji,Kandlur,Engineer,1990-03-02,9999-01-01
27686,Manu,Rosiles,Senior Staff,1998-03-03,9999-01-01
27699,Falguni,Pezzoli,Engineer,1996-12-23,9999-01-01
27767,Tooru,Veldwijk,Senior Staff,1993-11-21,9999-01-01
27970,KayLiang,Miyakawa,Technique Leader,1995-11-22,2000-02-07
28193,Xinglin,Mitsuhashi,Engineer,1988-12-14,9999-01-01
28222,Mayuko,Vitiello,Technique Leader,1993-12-22,1995-10-16
28974,Chenxi,Sundgren,Senior Engineer,1986-09-02,9999-01-01
28988,Tua,Giveon,Technique Leader,1998-09-09,9999-01-01
29130,Xumin,Thorensen,Staff,1998-04-26,9999-01-01
29265,Gilbert,Calkin,Staff,1988-03-21,9999-01-01
29380,Satoru,Vidal,Assistant Engineer,1998-05-02,9999-01-01
29418,Valery,Mersereau,Assistant Engineer,1998-07-01,9999-01-01
29679,Kolar,Steenbeek,Senior Engineer,1986-10-18,9999-01-01
29782,Jouko,Hellwagner,Senior Engineer,2000-10-23,9999-01-01
29954,Pranay,Giarratana,Senior Engineer,1992-09-29,9999-01-01
30007,Kousuke,Vecchio,Engineer,1990-02-23,9999-01-01
30035,Tetsushi,Conta,Senior Staff,1995-07-04,9999-01-01
30154,Mayuko,Skafidas,Technique Leader,1999-04-19,9999-01-01
30182,Leon,Potthoff,Engineer,1985-12-08,9999-01-01
30465,Randi,Avouris,Senior Engineer,1986-07-16,9999-01-01
30484,Sailaja,Chvatal,Staff,1999-05-18,9999-01-01
30552,Yishai,Terlouw,Senior Engineer,1986-09-19,1999-01-07
30695,Gudjon,Majewski,Senior Engineer,1999-10-26,9999-01-01
30938,Yakkov,Samarati,Staff,1997-10-10,9999-01-01
31147,Divine,Sidhu,Senior Staff,1989-07-05,9999-01-01
31170,Tuval,Waleschkowski,Senior Staff,1987-10-16,1988-12-14
31188,Leandro,Gist,Technique Leader,1993-02-03,9999-01-01
31207,Abdelwaheb,Dulin,Senior Engineer,1993-08-05,9999-01-01
31341,Oksana,Zultner,Senior Staff,1991-03-23,9999-01-01
31514,Harngdar,Schapire,Senior Engineer,1996-11-09,9999-01-01
31568,Mark,Lalonde,Staff,1996-11-24,9999-01-01
